Ball,Pin Name,GPIO Group,IO Type,custom,,Function3,Function4,Function5,Function6,Function7,Function8,Function14
D16,PB0,GPIOB,I/O,IR-TX,红外发射,IR-TX,TWI2-SCK,SPI1-WP/,UART0-TX,UART2-TX,OWA-OUT,PB-EINT0
,,,,,,,,DBI-TE,,,,
D17,PB1,,I/O,USB0-VBUSDET,,I2S2-DOUT3,TWI2-SDA,I2S2-DIN3,UART0-RX,UART2-RX,IR-RX,PB-EINT1
M16,PB2,,I/O,CTP-SDA,Touch panel，需要同时接MIPI 和SPI屏幕,I2S2-DOUT2,TWI0-SDA,I2S2-DIN2,LCD0-D18,UART4-TX,,PB-EINT2
M17,PB3,,I/O,CTP-SCL,,I2S2-DOUT1,TWI0-SCK,I2S2-DIN0,LCD0-D19,UART4-RX,,PB-EINT3
M18,PB4,,I/O,CTP-RST,,I2S2-DOUT0,TWI1-SCK,I2S2-DIN1,LCD0-D20,UART5-TX,,PB-EINT4
L16,PB5,,I/O,CTP-INT,,I2S2-BCLK,TWI1-SDA,PWM0,LCD0-D21,UART5-RX,,PB-EINT5
L17,PB6,,I/O,CPU-P-PWM,,I2S2-LRCK,TWI3-SCK,PWM1,LCD0-D22,UART3-TX,CPUBIST0,PB-EINT6
K16,PB7,,I/O,IR-RX,,I2S2-MCLK,TWI3-SDA,IR-RX,LCD0-D23,UART3-RX,CPUBIST1,PB-EINT7
D18,PB8,,I/O,TWI2-SCK,引出来I2C排针，并接到温湿度、光感接近感应芯片。,PWM5,TWI2-SCK,SPI1-HOLD/,UART0-TX,UART1-TX,,PB-EINT8
,,,,,,,,DBI-DCX/,,,,
,,,,,,,,DBI-WRX,,,,
C16,PB9,,I/O,TWI2-SDA,,PWM6,TWI2-SDA,SPI1-MISO/,UART0-RX,UART1-RX,,PB-EINT9
,,,,,,,,DBI-SDI/,,,,
,,,,,,,,DBI-TE/,,,,
,,,,,,,,DBI-DCX,,,,
C18,PB10,,I/O,LED,1个LED灯,PWM7,TWI0-SCK,SPI1-MOSI/,CLK-FANOUT0,UART1-RTS,,PB-EINT10
,,,,,,,,DBI-SDO,,,,
C17,PB11,,I/O,USB0-DRVVBUS,,PWM2,TWI0-SDA,SPI1-CLK/,CLK-FANOUT1,UART1-CTS,,PB-EINT11
,,,,,,,,DBI-SCLK,,,,
B18,PB12,,I/O,USB-ID,,PWM0,,SPI1-CS/,CLK-FANOUT2,IR-RX,,PB-EINT12
,,,,,,,,DBI-CSX,,,,
